# avoid	prefer	kind	tier	fix_hint	pattern	notes
# kind: autofix | phrase_flag | tier1_phrase | template | skip

plays a critical role		phrase_flag	2	say how it matters		bulk
plays a critical factor		phrase_flag	2	say how it matters		bulk
plays a critical element		phrase_flag	2	say how it matters		bulk
plays a critical component		phrase_flag	2	say how it matters		bulk
plays a critical aspect		phrase_flag	2	say how it matters		bulk
plays a critical function		phrase_flag	2	say how it matters		bulk
plays a critical contribution		phrase_flag	2	say how it matters		bulk
plays a important role		phrase_flag	2	say how it matters		bulk
plays a important factor		phrase_flag	2	say how it matters		bulk
plays a important element		phrase_flag	2	say how it matters		bulk
plays a important component		phrase_flag	2	say how it matters		bulk
plays a important aspect		phrase_flag	2	say how it matters		bulk
plays a important function		phrase_flag	2	say how it matters		bulk
plays a important contribution		phrase_flag	2	say how it matters		bulk
plays a essential role		phrase_flag	2	say how it matters		bulk
plays a essential factor		phrase_flag	2	say how it matters		bulk
plays a essential element		phrase_flag	2	say how it matters		bulk
plays a essential component		phrase_flag	2	say how it matters		bulk
plays a essential aspect		phrase_flag	2	say how it matters		bulk
plays a essential function		phrase_flag	2	say how it matters		bulk
plays a essential contribution		phrase_flag	2	say how it matters		bulk
plays a vital role		phrase_flag	2	say how it matters		bulk
plays a vital factor		phrase_flag	2	say how it matters		bulk
plays a vital element		phrase_flag	2	say how it matters		bulk
plays a vital component		phrase_flag	2	say how it matters		bulk
plays a vital aspect		phrase_flag	2	say how it matters		bulk
plays a vital function		phrase_flag	2	say how it matters		bulk
plays a vital contribution		phrase_flag	2	say how it matters		bulk
plays a significant role		phrase_flag	2	say how it matters		bulk
plays a significant factor		phrase_flag	2	say how it matters		bulk
plays a significant element		phrase_flag	2	say how it matters		bulk
plays a significant component		phrase_flag	2	say how it matters		bulk
plays a significant aspect		phrase_flag	2	say how it matters		bulk
plays a significant function		phrase_flag	2	say how it matters		bulk
plays a significant contribution		phrase_flag	2	say how it matters		bulk
plays a pivotal role		phrase_flag	2	say how it matters		bulk
plays a pivotal factor		phrase_flag	2	say how it matters		bulk
plays a pivotal element		phrase_flag	2	say how it matters		bulk
plays a pivotal component		phrase_flag	2	say how it matters		bulk
plays a pivotal aspect		phrase_flag	2	say how it matters		bulk
plays a pivotal function		phrase_flag	2	say how it matters		bulk
plays a pivotal contribution		phrase_flag	2	say how it matters		bulk
plays a key role		phrase_flag	2	say how it matters		bulk
plays a key factor		phrase_flag	2	say how it matters		bulk
plays a key element		phrase_flag	2	say how it matters		bulk
plays a key component		phrase_flag	2	say how it matters		bulk
plays a key aspect		phrase_flag	2	say how it matters		bulk
plays a key function		phrase_flag	2	say how it matters		bulk
plays a key contribution		phrase_flag	2	say how it matters		bulk
it is important to understand that		phrase_flag	2	cut throat-clearing		bulk
it should be emphasized that		phrase_flag	2	cut throat-clearing		bulk
it must be noted that		phrase_flag	2	cut throat-clearing		bulk
it goes without saying that		phrase_flag	2	cut throat-clearing		bulk
needless to say		phrase_flag	2	cut throat-clearing		bulk
first and foremost		phrase_flag	2	cut throat-clearing		bulk
last but not least		phrase_flag	2	cut throat-clearing		bulk
in the final analysis		phrase_flag	2	cut throat-clearing		bulk
when all is said and done		phrase_flag	2	cut throat-clearing		bulk
at the end of the day		phrase_flag	2	cut throat-clearing		bulk
moving forward		phrase_flag	2	cut throat-clearing		bulk
going forward		phrase_flag	2	cut throat-clearing		bulk
at this moment in time		phrase_flag	2	cut throat-clearing		bulk
in the current climate		phrase_flag	2	cut throat-clearing		bulk
in today's environment		phrase_flag	2	cut throat-clearing		bulk
against this backdrop		phrase_flag	2	cut throat-clearing		bulk
in this context		phrase_flag	2	cut throat-clearing		bulk
from a holistic perspective		phrase_flag	2	cut throat-clearing		bulk
from a high level		phrase_flag	2	cut throat-clearing		bulk
at a high level		phrase_flag	2	cut throat-clearing		bulk
broadly speaking		phrase_flag	2	cut throat-clearing		bulk
generally speaking		phrase_flag	2	cut throat-clearing		bulk
by and large		phrase_flag	2	cut throat-clearing		bulk
for all intents and purposes		phrase_flag	2	cut throat-clearing		bulk
in many respects		phrase_flag	2	cut throat-clearing		bulk
in some respects		phrase_flag	2	cut throat-clearing		bulk
to a certain extent		phrase_flag	2	cut throat-clearing		bulk
to some degree		phrase_flag	2	cut throat-clearing		bulk
in no uncertain terms		phrase_flag	2	cut throat-clearing		bulk
without a doubt		phrase_flag	2	cut throat-clearing		bulk
there is no question that		phrase_flag	2	cut throat-clearing		bulk
it is clear that		phrase_flag	2	cut throat-clearing		bulk
it is evident that		phrase_flag	2	cut throat-clearing		bulk
it is apparent that		phrase_flag	2	cut throat-clearing		bulk
it stands to reason that		phrase_flag	2	cut throat-clearing		bulk
one might argue that		phrase_flag	2	cut throat-clearing		bulk
it could be said that		phrase_flag	2	cut throat-clearing		bulk
as previously mentioned		phrase_flag	2	cut throat-clearing		bulk
as noted above		phrase_flag	2	cut throat-clearing		bulk
as discussed earlier		phrase_flag	2	cut throat-clearing		bulk
as we have seen		phrase_flag	2	cut throat-clearing		bulk
in the aforementioned		phrase_flag	2	cut throat-clearing		bulk
the aforementioned		phrase_flag	2	cut throat-clearing		bulk
the above-mentioned		phrase_flag	2	cut throat-clearing		bulk
said entity		phrase_flag	2	cut throat-clearing		bulk
said individual		phrase_flag	2	cut throat-clearing		bulk
said organization		phrase_flag	2	cut throat-clearing		bulk
implementation		phrase_flag	2	implement		bulk nominal
utilization		phrase_flag	2	use		bulk nominal
facilitation		phrase_flag	2	help		bulk nominal
optimization		phrase_flag	2	improve		bulk nominal
modification		phrase_flag	2	change		bulk nominal
notification		phrase_flag	2	tell		bulk nominal
documentation		phrase_flag	2	document		bulk nominal
verification		phrase_flag	2	check		bulk nominal
authorization		phrase_flag	2	allow		bulk nominal
clarification		phrase_flag	2	clarify		bulk nominal
coordination		phrase_flag	2	coordinate		bulk nominal
investigation		phrase_flag	2	study		bulk nominal
consideration		phrase_flag	2	consider		bulk nominal
determination		phrase_flag	2	decide		bulk nominal
evaluation		phrase_flag	2	assess		bulk nominal
continuation		phrase_flag	2	continue		bulk nominal
termination		phrase_flag	2	end		bulk nominal
initiation		phrase_flag	2	start		bulk nominal
completion		phrase_flag	2	finish		bulk nominal
submission		phrase_flag	2	submit		bulk nominal
cancellation		phrase_flag	2	cancel		bulk nominal
registration		phrase_flag	2	register		bulk nominal
compilation		phrase_flag	2	compile		bulk nominal
aggregation		phrase_flag	2	combine		bulk nominal
integration		phrase_flag	2	integrate		bulk nominal
migration		phrase_flag	2	move		bulk nominal
configuration		phrase_flag	2	set up		bulk nominal
calibration		phrase_flag	2	calibrate		bulk nominal
orchestration		phrase_flag	2	coordinate		bulk nominal
operationalization		phrase_flag	2	implement		bulk nominal
materialization		phrase_flag	2	happen		bulk nominal
conceptualization		phrase_flag	2	concept		bulk nominal
contextualization		phrase_flag	2	context		bulk nominal
prioritization		phrase_flag	2	prioritize		bulk nominal
rationalization		phrase_flag	2	explain		bulk nominal
standardization		phrase_flag	2	standardize		bulk nominal
synchronization		phrase_flag	2	sync		bulk nominal
monetization		phrase_flag	2	earn		bulk nominal
productization		phrase_flag	2	product		bulk nominal
marketization		phrase_flag	2	market		bulk nominal
incentivization		phrase_flag	2	motivate		bulk nominal
systematization		phrase_flag	2	organize		bulk nominal
characterization		phrase_flag	2	describe		bulk nominal
summarization		phrase_flag	2	summarize		bulk nominal
visualization		phrase_flag	2	show		bulk nominal
generalization		phrase_flag	2	generalize		bulk nominal
specialization		phrase_flag	2	specialize		bulk nominal
stabilization		phrase_flag	2	stabilize		bulk nominal
normalization		phrase_flag	2	normalize		bulk nominal
minimization		phrase_flag	2	reduce		bulk nominal
maximization		phrase_flag	2	increase		bulk nominal
modernization		phrase_flag	2	update		bulk nominal
digitization		phrase_flag	2	digitize		bulk nominal
computerization		phrase_flag	2	automate		bulk nominal
industrialization		phrase_flag	2	scale		bulk nominal
commercialization		phrase_flag	2	sell		bulk nominal
institutionalization		phrase_flag	2	establish		bulk nominal
functionalization		phrase_flag	2	add function		bulk nominal
vectorization		phrase_flag	2	vectorize		bulk nominal
containerization		phrase_flag	2	containerize		bulk nominal
virtualization		phrase_flag	2	virtualize		bulk nominal
containerized	packaged	autofix				bulk nominal
virtualized	virtual	autofix				bulk nominal
externalize	move out	autofix				bulk nominal
internalize	absorb	autofix				bulk nominal
strategize	plan	autofix				bulk nominal
strategizing	planning	autofix				bulk nominal
ameliorate	improve	autofix				bulk nominal
ameliorating	improving	autofix				bulk nominal
expedite	speed up	autofix				bulk nominal
expediting	speeding up	autofix				bulk nominal
expedited	sped up	autofix				bulk nominal
repurpose	reuse	autofix				bulk nominal
repurposing	reusing	autofix				bulk nominal
repurposed	reused	autofix				bulk nominal
reprioritize	reorder	autofix				bulk nominal
recontextualize	reframe	autofix				bulk nominal
reimagine	rethink	autofix				bulk nominal
reimagining	rethinking	autofix				bulk nominal
reimagined	rethought	autofix				bulk nominal
replatform	move	autofix				bulk nominal
replatforming	moving	autofix				bulk nominal
sunset	retire	autofix				bulk nominal
sunsetting	retiring	autofix				bulk nominal
sunsetted	retired	autofix				bulk nominal
actionize	act	autofix				bulk nominal
actionizing	acting	autofix				bulk nominal
actionized	acted	autofix				bulk nominal
synergize		phrase_flag	2	say what you mean plainly		bulk biz
rightshoring		phrase_flag	2	say what you mean plainly		bulk biz
downsizing		phrase_flag	2	say what you mean plainly		bulk biz
rightsizing		phrase_flag	2	say what you mean plainly		bulk biz
upsizing		phrase_flag	2	say what you mean plainly		bulk biz
cross-pollinate		phrase_flag	2	say what you mean plainly		bulk biz
cross-functional		phrase_flag	2	say what you mean plainly		bulk biz
mission-critical		phrase_flag	2	say what you mean plainly		bulk biz
customer-centric		phrase_flag	2	say what you mean plainly		bulk biz
data-driven		phrase_flag	2	say what you mean plainly		bulk biz
outcomes-based		phrase_flag	2	say what you mean plainly		bulk biz
results-oriented		phrase_flag	2	say what you mean plainly		bulk biz
forward-thinking		phrase_flag	2	say what you mean plainly		bulk biz
best-in-class		phrase_flag	2	say what you mean plainly		bulk biz
world-class		phrase_flag	2	say what you mean plainly		bulk biz
enterprise-grade		phrase_flag	2	say what you mean plainly		bulk biz
mission-aligned		phrase_flag	2	say what you mean plainly		bulk biz
value-creating		phrase_flag	2	say what you mean plainly		bulk biz
growth-oriented		phrase_flag	2	say what you mean plainly		bulk biz
scalable architecture		phrase_flag	2	say what you mean plainly		bulk biz
ecosystem play		phrase_flag	2	say what you mean plainly		bulk biz
platform strategy		phrase_flag	2	say what you mean plainly		bulk biz
flywheel effect		phrase_flag	2	say what you mean plainly		bulk biz
network effects		phrase_flag	2	say what you mean plainly		bulk biz
moat building		phrase_flag	2	say what you mean plainly		bulk biz
category creation		phrase_flag	2	say what you mean plainly		bulk biz
category-defining		phrase_flag	2	say what you mean plainly		bulk biz
paradigm-shifting		phrase_flag	2	say what you mean plainly		bulk biz
game-changing		phrase_flag	2	say what you mean plainly		bulk biz
industry-leading		phrase_flag	2	say what you mean plainly		bulk biz
market-leading		phrase_flag	2	say what you mean plainly		bulk biz
category-leading		phrase_flag	2	say what you mean plainly		bulk biz
thought-leading		phrase_flag	2	say what you mean plainly		bulk biz
bleeding-edge		phrase_flag	2	say what you mean plainly		bulk biz
cutting-edge		phrase_flag	2	say what you mean plainly		bulk biz
leading-edge		phrase_flag	2	say what you mean plainly		bulk biz
state-of-the-art		phrase_flag	2	say what you mean plainly		bulk biz
next-generation		phrase_flag	2	say what you mean plainly		bulk biz
first-of-its-kind		phrase_flag	2	say what you mean plainly		bulk biz
one-of-a-kind		phrase_flag	2	say what you mean plainly		bulk biz
best-of-breed		phrase_flag	2	say what you mean plainly		bulk biz
end-to-end		phrase_flag	2	say what you mean plainly		bulk biz
top-to-bottom		phrase_flag	2	say what you mean plainly		bulk biz
soup to nuts		phrase_flag	2	say what you mean plainly		bulk biz
360 review		phrase_flag	2	say what you mean plainly		bulk biz
720 feedback		phrase_flag	2	say what you mean plainly		bulk biz
OKR alignment		phrase_flag	2	say what you mean plainly		bulk biz
KPI dashboard		phrase_flag	2	say what you mean plainly		bulk biz
OKR cadence		phrase_flag	2	say what you mean plainly		bulk biz
sprint planning		phrase_flag	2	say what you mean plainly		bulk biz
backlog grooming		phrase_flag	2	say what you mean plainly		bulk biz
story pointing		phrase_flag	2	say what you mean plainly		bulk biz
velocity tracking		phrase_flag	2	say what you mean plainly		bulk biz
burn-down chart		phrase_flag	2	say what you mean plainly		bulk biz
burn-up chart		phrase_flag	2	say what you mean plainly		bulk biz
swim lane		phrase_flag	2	say what you mean plainly		bulk biz
swimlane diagram		phrase_flag	2	say what you mean plainly		bulk biz
RACI matrix		phrase_flag	2	say what you mean plainly		bulk biz
stakeholder map		phrase_flag	2	say what you mean plainly		bulk biz
empathy map		phrase_flag	2	say what you mean plainly		bulk biz
journey map		phrase_flag	2	say what you mean plainly		bulk biz
service blueprint		phrase_flag	2	say what you mean plainly		bulk biz
north star metric		phrase_flag	2	say what you mean plainly		bulk biz
activation funnel		phrase_flag	2	say what you mean plainly		bulk biz
retention curve		phrase_flag	2	say what you mean plainly		bulk biz
cohort analysis		phrase_flag	2	say what you mean plainly		bulk biz
A/B experiment		phrase_flag	2	say what you mean plainly		bulk biz
multivariate test		phrase_flag	2	say what you mean plainly		bulk biz
growth hack		phrase_flag	2	say what you mean plainly		bulk biz
growth hacking		phrase_flag	2	say what you mean plainly		bulk biz
growth team		phrase_flag	2	say what you mean plainly		bulk biz
revenue ops		phrase_flag	2	say what you mean plainly		bulk biz
sales enablement		phrase_flag	2	say what you mean plainly		bulk biz
demand gen		phrase_flag	2	say what you mean plainly		bulk biz
demand generation		phrase_flag	2	say what you mean plainly		bulk biz
lead nurturing		phrase_flag	2	say what you mean plainly		bulk biz
pipeline velocity		phrase_flag	2	say what you mean plainly		bulk biz
deal desk		phrase_flag	2	say what you mean plainly		bulk biz
