# avoid	prefer	kind	tier	fix_hint	pattern	notes
# kind redundancy_phrase → Pattern 34 (regex from pattern or avoid)
PIN-kod kod		redundancy_phrase			Stryk upprepningen: säg PIN-kod.		\bPIN-kod\s+kod\b	
PIN-nummer		redundancy_phrase			Använd PIN-kod eller pinkod.		\bPIN-nummer\b	
ATM-maskin		redundancy_phrase			Ange bankomat eller uttagsautomat.		\bATM-maskin\b	
LCD-display		redundancy_phrase			Säg skärm eller LCD.		\bLCD-display\b	
ISBN-nummer		redundancy_phrase			Säg ISBN.		\bISBN-nummer\b	
ISBN-kod		redundancy_phrase			Säg ISBN.		\bISBN-kod\b	
ISP-leverantör		redundancy_phrase			Säg internetleverantör eller ISP.		\bISP-leverantör\b	
VPN-tunnel		redundancy_phrase			Ofta redundant — säg VPN.		\bVPN-tunnel\b	
DNS-server		redundancy_phrase			Kontextberoende — ofta räcker DNS.		\bDNS-server\b	
HTML-språk		redundancy_phrase			Säg HTML.		\bHTML-språk\b	
JSON-formatet		redundancy_phrase			Ofta räcker JSON.		\bJSON-formatet\b	
API-gränssnitt		redundancy_phrase			Säg API eller gränssnitt.		\bAPI-gränssnitt\b	
GUI-gränssnitt		redundancy_phrase			Säg GUI eller gränssnitt.		\bGUI-gränssnitt\b	
förhandsplanering		redundancy_phrase			Säg planering.		\bförhandsplanering\b	
gratis gåva		redundancy_phrase			Säg gåva eller gratiserbjudande.		\bgratis gåva\b	
gratis present		redundancy_phrase			Säj present eller gåva.		\bgratis present\b	
kort sammanfattning		redundancy_phrase			Säg sammanfattning.		\bkort sammanfattning\b	
slutresultat		redundancy_phrase			Säg resultat.		\bslutresultat\b	
slutgiltigt avgörande		redundancy_phrase			Säg avgörande eller beslut.		\bslutgiltigt avgörande\b	
helt unik		redundancy_phrase			Säj unik eller sällsynt.		\bhelt unik\b	
helt unikt		redundancy_phrase			Säj unikt eller sällsynt.		\bhelt unikt\b	
helt och hållet		redundancy_phrase			Säg helt eller fullt ut.		\bhelt och hållet\b	
